corridor_id,screening_class,historical_length_m,routable_corridor,active_access_points,proximity_access_points,unsafe_major_crossing,near_existing_road_fraction,parallel_existing_road_fraction,max_detour_saved_m,max_detour_ratio,composite_utility,benefit_strategic_transport,benefit_metro,benefit_train,benefit_underserved_destinations,benefit_jobs_services
1,unconnected,820.0713573314641,False,0,0,False,0.0,,,,,,,,,
2,unconnected,439.29736403274416,False,0,0,False,0.0,,,,,,,,,
3,unconnected,144.19391227376286,False,0,0,False,0.0,,,,,,,,,
4,unconnected,677.3452370710019,False,0,0,False,0.0,,,,,,,,,
5,other,269.37174085633563,True,2,0,False,0.23578906481017137,0.2962962962962963,11.110544989747847,1.4621886825254686,0.0,0.0,0.0,0.0,0.0,0.0
6,unconnected,815.4008002775623,False,0,0,False,0.0,,,,,,,,,
7,unconnected,388.67533745172625,False,0,0,False,0.0,,,,,,,,,
8,parallel,262.8506341352545,True,2,0,False,0.3464240949240412,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,unconnected,587.5426065926548,False,0,0,False,0.0,,,,,,,,,
10,unconnected,762.0310145289983,False,0,0,False,0.0,,,,,,,,,
11,unconnected,292.0436822833931,False,0,0,False,0.0,,,,,,,,,
12,unconnected,310.5208800503941,False,0,0,False,0.0,,,,,,,,,
13,unconnected,557.6594913554995,False,1,0,False,0.01728418979200954,,,,,,,,,
14,other,257.7903024444691,True,2,0,False,0.16707006871603658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,unconnected,386.1414060354696,False,0,0,False,0.0,,,,,,,,,
16,unconnected,843.2780855112712,False,0,0,False,0.0,,,,,,,,,
17,other,340.8954105130495,True,2,1,False,0.10173642470980425,0.2058823529411764,15.03009042687198,1.2851633850721602,0.0,0.0,0.0,0.0,0.0,0.0
18,unconnected,497.43665509356896,False,0,0,False,0.0,,,,,,,,,
19,unconnected,100.61111231013378,False,0,0,False,0.0,,,,,,,,,
20,unconnected,662.1233063401603,False,0,0,False,0.0,,,,,,,,,
21,unconnected,2.589845561709029,False,0,0,False,0.0,,,,,,,,,
22,unconnected,358.77024847127154,False,0,0,False,0.0,,,,,,,,,
23,unconnected,27.334624611992865,False,0,0,False,0.0,,,,,,,,,
24,unconnected,691.3234027703019,False,1,0,False,0.00033030289558588907,,,,,,,,,
25,unconnected,721.0343337898973,False,1,0,True,0.0,,,,,,,,,
26,crossing_review,579.0490283915525,True,2,0,True,0.0560352620972335,0.0,301.683905312261,27.211386498969677,0.0387258014058868,322.47402369180634,161.23701184590348,161.23701184590283,7482.288847343992,0.0
27,unconnected,174.10612732626336,False,1,0,True,0.09878228898591403,,,,,,,,,
28,unconnected,61.353793589597345,False,0,0,False,0.0,,,,,,,,,
29,unconnected,525.1111469257925,False,0,0,False,0.0,,,,,,,,,
30,unconnected,185.8224733423853,False,1,0,False,0.1680297898751745,,,,,,,,,
31,unconnected,335.3977489224345,False,1,1,False,0.0,,,,,,,,,
32,unconnected,183.43068658897573,False,0,0,False,0.0,,,,,,,,,
33,unconnected,324.4540181708938,False,0,0,False,0.0,,,,,,,,,
34,unconnected,35.67050610124119,False,0,0,False,0.0,,,,,,,,,
35,unconnected,73.93294076629942,False,1,0,False,0.24411836050930838,,,,,,,,,
36,unconnected,218.04586515360603,False,0,0,False,0.0,,,,,,,,,
37,other,264.4955945840768,True,3,0,False,0.13925941857609156,0.1538461538461538,57.97593655411963,5.9321609383199805,0.0,0.0,0.0,0.0,0.0,0.0
38,unconnected,138.6082993740402,False,1,0,False,0.14294926847774203,,,,,,,,,
39,unconnected,951.9824687973357,False,0,0,False,0.0,,,,,,,,,
40,unconnected,431.23410025185274,False,0,0,False,0.0,,,,,,,,,
41,unconnected,277.31870224117756,False,0,0,False,0.0,,,,,,,,,
42,other,298.71396690061516,True,3,1,False,0.2352338361078137,0.4666666666666667,0.0,0.9841993061309022,0.0,0.0,0.0,0.0,0.0,0.0
43,unconnected,171.21395152415494,False,0,0,False,0.0,,,,,,,,,
44,unconnected,115.20444203493047,False,1,0,False,0.03825859365715266,,,,,,,,,
45,unconnected,406.8294886430351,False,0,0,False,0.0,,,,,,,,,
46,unconnected,171.37999035791177,False,1,0,False,0.010578019095992054,,,,,,,,,
47,unconnected,66.5863486264921,False,0,0,False,0.0,,,,,,,,,
48,unconnected,120.42587627437895,False,0,0,False,0.0,,,,,,,,,
49,unconnected,302.94845064248426,False,1,0,False,0.0,,,,,,,,,
50,unconnected,509.56690574390166,False,0,0,False,0.08785202817888992,,,,,,,,,
51,other,585.0798762511321,True,2,0,False,0.2292882310183804,0.288135593220339,0.0,0.7878902058252206,0.0,0.0,0.0,0.0,0.0,0.0
52,other,149.23772924514702,True,2,1,False,0.1968888905245306,0.2,7.921447170778549,1.2433371841526266,0.0,0.0,0.0,0.0,0.0,0.0
53,unconnected,964.8464798261821,False,0,0,False,0.0,,,,,,,,,
54,other,472.94835786768516,True,2,1,True,0.014085786365363782,0.0,21.283443232330644,2.134792921608874,0.0021719380552163,261.8929504878376,261.8929504878376,0.0,0.0,0.0
55,unconnected,383.4522839054265,False,0,0,False,0.0,,,,,,,,,
56,unconnected,500.1960956815759,False,0,0,False,0.0,,,,,,,,,
57,unconnected,2.4391921256696705,False,1,0,False,0.0,,,,,,,,,
58,unconnected,11.68333699684376,False,1,0,False,0.262918695919163,,,,,,,,,
59,parallel,145.18634050476822,True,3,2,False,0.20054573511397436,1.0,30.02543984703442,1.2412247615269167,0.0013993145122222,85.0636430594081,42.53182152970503,42.531821529703066,42.531821529703066,42.531821529702086
60,unconnected,119.5819582050396,False,0,0,False,0.0,,,,,,,,,
61,unconnected,185.03589835797797,False,0,0,False,0.0,,,,,,,,,
62,unconnected,370.0009341151239,False,0,0,False,0.0,,,,,,,,,
63,unconnected,104.36059547476744,False,0,0,False,0.0,,,,,,,,,
64,other,346.92487147878734,True,4,1,False,0.1285097831676692,0.0,91.31734337290668,1.8630009851234488,0.0,0.0,0.0,0.0,0.0,0.0
65,unconnected,35.51225852562245,False,0,0,False,0.0,,,,,,,,,
66,unconnected,242.49839426695374,False,0,0,False,0.0,,,,,,,,,
67,unconnected,69.08024405928576,False,1,1,False,0.0,,,,,,,,,
68,unconnected,173.24987823505316,False,1,0,False,0.08695636469720772,,,,,,,,,
69,unconnected,152.87080890653448,False,1,0,False,0.0,,,,,,,,,
70,unconnected,125.82455194936318,False,1,0,False,0.0,,,,,,,,,
71,unconnected,20.641329943997047,False,0,0,False,0.0,,,,,,,,,
72,unconnected,201.2453747090895,False,0,0,False,0.0,,,,,,,,,
73,other,301.8184823872616,True,2,0,False,0.17655987565281892,0.2666666666666666,10.736329691135545,1.3670196552516698,0.0,0.0,0.0,0.0,0.0,0.0
74,unconnected,523.1914919597269,False,1,1,False,0.0,,,,,,,,,
75,unconnected,139.94810752114722,False,1,0,True,0.07918689000040684,,,,,,,,,
76,other,836.6364013951567,True,2,0,True,0.025919136618262725,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,unconnected,75.1166790285674,False,1,0,False,0.11419012521896713,,,,,,,,,
78,unconnected,339.73865914828536,False,0,0,False,0.0,,,,,,,,,
79,other,47.8950265316089,True,2,1,False,0.40778025252485567,0.0,10.289296961474651,1.582775580370933,0.0,0.0,0.0,0.0,0.0,0.0
80,unconnected,49.76428702088138,False,1,0,False,0.25006184538448273,,,,,,,,,
81,unconnected,76.82560198640742,False,0,0,False,0.0,,,,,,,,,
