city_part_name,population_total,neighbor_count,reachable_neighbor_count,mean_neighbor_time_min,max_neighbor_time_min,reachable_neighbor_share,corridors,historical_length_km,model_routable_corridors,major_crossing_candidates
Praha 1,22967,5,5,21.039863,36.757773,1.0,0.0,0.0,0.0,0.0
Praha 10,114377,8,0,,,0.0,0.0,0.0,0.0,0.0
Praha 11,72102,7,6,35.552639,67.919844,0.857143,2.0,0.518768,0.0,0.0
Praha 12,56591,4,3,35.745738,50.164623,0.75,58.0,15.483747,15.0,20.0
Praha 13,60189,5,4,33.287313,58.757931,0.8,29.0,9.477665,8.0,4.0
Praha 14,47014,7,6,29.179369,43.433353,0.857143,18.0,5.899751,1.0,1.0
Praha 15,35167,6,5,17.022594,25.704371,0.833333,0.0,0.0,0.0,0.0
Praha 16,8462,6,4,25.417281,33.600979,0.666667,22.0,6.345446,2.0,0.0
Praha 17,22461,4,3,36.398237,54.265432,0.75,5.0,1.192901,1.0,0.0
Praha 18,21702,5,5,20.115282,25.782381,1.0,1.0,0.442268,0.0,0.0
Praha 19,7216,6,6,19.03833,42.459454,1.0,3.0,0.835527,1.0,0.0
Praha 2,45405,6,5,18.060484,28.708159,0.833333,0.0,0.0,0.0,0.0
Praha 20,15303,5,5,26.672738,41.655795,1.0,41.0,17.743576,10.0,7.0
Praha 21,10429,3,3,13.621579,18.445184,1.0,4.0,0.89378,0.0,0.0
Praha 22,13903,9,8,22.122421,37.086512,0.888889,25.0,10.228751,3.0,4.0
Praha 3,74307,4,3,19.239636,23.890589,0.75,0.0,0.0,0.0,0.0
Praha 4,130957,8,7,35.028893,46.236396,0.875,2.0,0.489531,1.0,1.0
Praha 5,89007,8,8,34.230583,54.391915,1.0,69.0,16.317615,23.0,2.0
Praha 6,103254,11,10,38.477294,56.434302,0.909091,39.0,8.94288,11.0,5.0
Praha 7,44442,4,4,18.531695,34.863831,1.0,0.0,0.0,0.0,0.0
Praha 8,104921,11,11,24.166106,44.411641,1.0,3.0,1.177941,1.0,0.0
Praha 9,62651,6,5,22.282196,27.204944,0.833333,0.0,0.0,0.0,0.0
Praha-Benice,729,2,0,,,0.0,2.0,0.722579,0.0,0.0
Praha-Běchovice,2414,6,6,22.133337,33.32234,1.0,9.0,2.925852,0.0,0.0
Praha-Březiněves,1821,3,3,16.351459,20.504834,1.0,6.0,4.376937,1.0,0.0
Praha-Dolní Chabry,5035,3,3,14.476799,19.720142,1.0,7.0,2.478908,2.0,3.0
Praha-Dolní Měcholupy,4132,4,4,13.474464,17.176812,1.0,8.0,4.065372,2.0,3.0
Praha-Dolní Počernice,2802,5,5,25.052921,44.699688,1.0,9.0,4.173792,1.0,1.0
Praha-Dubeč,4175,6,6,21.472541,44.112217,1.0,12.0,5.948662,0.0,0.0
Praha-Klánovice,3511,3,3,24.736426,41.854324,1.0,0.0,0.0,0.0,0.0
Praha-Koloděje,1626,4,4,18.004063,27.588443,1.0,1.0,0.688202,0.0,0.0
Praha-Kolovraty,3944,4,2,35.430046,52.962035,0.5,5.0,2.687193,0.0,0.0
Praha-Královice,438,3,2,45.057484,53.305178,0.666667,10.0,2.401755,0.0,0.0
Praha-Kunratice,10091,4,4,29.223214,55.750321,1.0,25.0,5.600039,8.0,5.0
Praha-Křeslice,1173,3,3,35.617971,51.416338,1.0,9.0,4.568374,1.0,1.0
Praha-Libuš,10037,3,3,21.602968,36.541865,1.0,6.0,2.75909,1.0,1.0
Praha-Lipence,2970,2,1,21.179413,21.179413,0.5,30.0,9.657209,6.0,0.0
Praha-Lochkov,874,3,3,18.022973,23.645159,1.0,2.0,1.19835,0.0,0.0
Praha-Lysolaje,1484,2,2,20.325081,31.990014,1.0,5.0,1.190121,0.0,0.0
Praha-Nebušice,2734,2,2,16.790754,22.212899,1.0,13.0,4.996014,4.0,3.0
Praha-Nedvězí,366,2,0,,,0.0,13.0,3.204704,0.0,1.0
Praha-Petrovice,5753,5,5,20.275635,31.51409,1.0,3.0,1.354624,1.0,3.0
Praha-Přední Kopanina,628,2,2,20.563231,30.881966,1.0,3.0,0.999418,0.0,1.0
Praha-Satalice,2388,4,4,20.817466,41.61978,1.0,6.0,3.059664,2.0,2.0
Praha-Slivenec,3999,6,6,33.513033,58.791401,1.0,19.0,6.786789,2.0,2.0
Praha-Suchdol,6839,3,3,28.65931,40.845361,1.0,3.0,1.695632,2.0,0.0
Praha-Troja,1468,3,3,21.475264,36.100327,1.0,0.0,0.0,0.0,0.0
Praha-Velká Chuchle,2827,7,6,33.090063,51.570092,0.857143,19.0,9.842799,6.0,4.0
Praha-Vinoř,4528,3,3,12.207508,15.608029,1.0,7.0,3.59097,1.0,0.0
Praha-Zbraslav,10140,4,1,20.157373,20.157373,0.25,52.0,14.587055,12.0,3.0
Praha-Zličín,8398,3,0,,,0.0,27.0,8.903691,1.0,1.0
Praha-Újezd,3829,4,4,41.238995,79.195655,1.0,8.0,3.242194,0.0,0.0
Praha-Čakovice,11984,5,5,17.378035,21.552651,1.0,23.0,7.408395,5.0,7.0
Praha-Ďáblice,3750,5,5,15.369381,25.739633,1.0,18.0,8.777357,3.0,1.0
Praha-Řeporyje,6075,3,3,30.233487,35.24103,1.0,20.0,5.148467,3.0,2.0
Praha-Šeberov,3179,3,3,54.1669,79.472659,1.0,15.0,4.380802,3.0,4.0
Praha-Štěrboholy,2464,6,5,21.106515,34.582594,0.833333,1.0,0.597001,0.0,0.0
